City,DH_VU,DH_RU,DH_RS,DH_VS,GS_VU,GS_RU,GS_RS,GS_VS,QA_VU,QA_RU,QA_RS,QA_VS,SL_VU,SL_RU,SL_RS,SL_VS,GJ_VU,GJ_RU,GJ_RS,GJ_VS,SN_VU,SN_RU,SN_RS,SN_VS,GH_VU,GH_RU,GH_RS,GH_VS,A_15_24,A_25_39,A_40_54,A_55_100
Rennes,4.82568244555771,11.3894284837951,48.4919742357632,35.292914834884,4.03682719546742,7.0315661675435,46.8231485228652,42.1084581141238,6.51469098277609,20.0911854103343,54.5896656534954,18.8044579533941,1.6,4.65,40.87,52.88,9.32119749972585,35.9688562342362,42.4717622546332,12.2381840114048,8.61312378814165,21.2164506582304,43.0452086947648,27.1252168588631,17.5546948602533,38.2916361352455,31.4770229247357,12.6766460797655,30.3,22.68,14.68,32.34
Strasbourg,3.4684412179875,10.6876386368219,48.1548699334543,37.6890502117362,1.40350877192982,10.2255639097744,51.1077694235589,37.2631578947368,14.2900485436893,35.5582524271845,38.622572815534,11.5291262135922,2.19021902190219,5.65056505650565,43.7643764376438,48.3948394839484,13.4022794428029,41.0510764035458,36.2916842549599,9.25495989869143,7.46478873239437,18.3501006036217,52.2334004024145,21.9517102615694,23.7901933554107,44.493109710501,23.8970195491935,7.81967738489478,24.7,22.28,17.09,35.92
Paris,9.3336029932248,14.8245525331176,44.3320861563353,31.5097583173223,6.34441087613293,14.8942598187311,50.1812688821752,28.5800604229607,31.2334082091076,42.5566673473555,18.3071268123341,7.90279763120278,7.18803332998695,12.9103503664291,44.1421544021685,35.7594619014155,13.3699835074217,25.2556349642661,43.9362286970863,17.4381528312259,11.3652464325473,23.0644671591944,46.695678575043,18.8746078332153,59.7892176732874,28.1617349006891,6.57681394406161,5.4722334819619,19.58,23.42,20.17,36.84
Berlin,6.00263184532847,13.1491041603401,48.415831561899,32.4324324324324,4.33771486349848,8.14964610717897,51.9817997977755,35.530839231547,7.81487871714199,20.866741094083,53.8313204100274,17.4870597787476,4.42371351188685,9.37907513291203,33.3834888153275,52.8137225398736,15.222314936226,28.0128740016689,41.125283108833,15.6395279532721,12.4922887106724,27.0820481184454,43.1009664815957,17.3246966892865,44.2852725961043,36.6072348758116,12.2642481706689,6.84324435741523,11.21,29.17,24.85,34.76
Dortmund,4.1440703980354,13.8647293563901,42.9346157781643,39.0565844674102,2.64900662251656,10.5759582580775,47.6520168573149,39.1230182620911,3.3786525974026,19.7138798701299,58.1777597402597,18.7297077922078,3.22159775190686,5.3592934564432,41.338819751104,50.080289040546,7.80342918860538,39.5301741595788,38.6526258944242,14.0137707573917,7.8216299333675,25.8431573552025,48.9697590978985,17.3654536135315,20.3317026607803,45.5792864813268,27.6220021477151,6.46700871017778,13.07,24.45,25.17,37.32
Essen,2.51113811259619,11.9076549210207,44.7448359659781,40.836371000405,4.63870641738252,7.00353713996968,51.9656392117231,36.3921172309247,3.25462012320329,20.8008213552361,56.1601642710472,19.7843942505133,2.18441715321119,7.81155627139118,38.9973827259915,51.0066438494061,14.5420709823209,31.3970490495813,39.0003987770836,15.0604811910142,11.201818745479,21.3392580345148,45.0139506045262,22.44497261548,19.4371571667064,45.2301454805628,28.4164082995469,6.91628905318388,11.95,24.23,24.76,39.06
Hamburg,5.76119098603039,12.6440297746508,40.8789640053023,40.7158152340165,3.24884329108831,7.36270368135184,42.3757795212231,47.0126735063367,5.54375316135559,17.9059180576631,48.3156297420334,28.2346990389479,2.39605355884426,5.19480519480519,22.7524413570925,69.656699889258,5.65574776101092,23.2609495767391,52.8278738805055,18.2554287817446,5.67578603511637,19.3344222131482,50.1837484687628,24.8060432829726,53.8636129165377,35.2109769937068,6.64396987516765,4.28144021458785,12.38,28.46,25.94,33.22
Leipzig,3.94803102024373,14.1403968174036,48.4137375365092,33.4978346258435,3.48463546896967,8.21450090379594,38.9736894958827,49.3271741313517,3.72454722193799,13.1280057300726,61.0048091681162,22.1426378798731,2.09,2.95,31.75,63.21,9.534127843987,29.5774647887324,43.6078006500542,17.2806067172264,7.55897435897436,25.5589743589744,48.0512820512821,18.8307692307692,15.4133212710619,42.5647404726903,30.8040257831053,11.2179124731426,13.05,30.67,21.83,34.46
München,2.93816543816544,8.14905814905815,37.54095004095,51.3718263718264,2.7111155738528,6.07490711918867,34.6420323325635,56.571944974395,4.5596691213558,17.5728840915969,48.3405628972057,29.5268838898416,1.47029204431017,6.5055387713998,26.2839879154079,65.7401812688822,10.4596244672273,17.152401797028,42.2301578159198,30.1578159198249,5.40177649246024,15.523652137988,32.679198512704,46.3953728568478,67.1965171610813,22.6485775032905,7.24916472613142,2.90574060949681,12.08,31.05,25.17,31.7
Rostock,3.11002345263587,15.2238197206077,48.4245946772713,33.2415621494851,4.89256531826894,13.2754968223545,47.7050337940079,34.1269040653687,3.02846759539673,8.95416919038966,38.3605895416919,49.6567736725217,1.93522510779104,3.72004411912163,31.0738995287276,63.2708312443598,14.0441461210791,36.9304246805215,38.6343100555054,10.391119142894,6.56457376212353,15.1097498723839,52.475752935171,25.8499234303216,29.0269828291087,51.5360355098703,15.068333138652,4.36864852236888,12.58,26.93,20.9,39.59
